NBITS	NTROTS	L	H	LEN	E	FCIE	STATESIZ	DEPTH	TIME
10	1	-8.0	-7.0	1.5949	-7.90234375	-7.8824034103243825	12	9117383	1020195909918
10	2	-8.0	-7.0	1.5949	-7.00390625	-7.8824034103243825	12	18235382	2035960105306
10	3	-8.0	-7.0	1.5949	-7.9208984375	-7.8824034103243825	12	27353381	3066319167121
10	4	-8.0	-7.0	1.5949	-7.9189453125	-7.8824034103243825	12	36471380	4073980268266
10	5	-8.0	-7.0	1.5949	-7.912109375	-7.8824034103243825	12	45589379	5093613173284
10	6	-8.0	-7.0	1.5949	-7.904296875	-7.8824034103243825	12	54707378	6102635308317
10	7	-8.0	-7.0	1.5949	-7.8994140625	-7.8824034103243825	12	63825377	7122983273851
10	8	-8.0	-7.0	1.5949	-7.896484375	-7.8824034103243825	12	72943376	8137838194749
