H2 0.200000 -2.000000 1.000000 1 0.137695 0.157482 131155 10187325962.000000 13089211536.000000 3824800471.000000
H2 0.900000 -2.000000 1.000000 1 -1.103027 -1.120560 131155 10214662732.000000 13116295477.000000 3745945317.000000
H2 1.600000 -2.000000 1.000000 1 -0.977051 -0.983473 131155 10243261138.000000 13152120161.000000 3729579092.000000
H2 2.300000 -2.000000 1.000000 1 -0.937500 -0.938922 131155 10182666380.000000 13091652239.000000 3768353167.000000
H2 3.000000 -2.000000 1.000000 1 -0.333984 -0.933632 131155 10213769802.000000 13045769305.000000 3738979631.000000
H2 0.200000 -2.000000 1.000000 2 0.169922 0.157482 264210 19165556006.000000 25023127068.000000 13274393073.000000
H2 0.900000 -2.000000 1.000000 2 -1.116211 -1.120560 264210 19517544748.000000 25165088806.000000 13285196857.000000
H2 1.600000 -2.000000 1.000000 2 -0.981445 -0.983473 264210 19248200396.000000 25162829241.000000 13203230663.000000
H2 2.300000 -2.000000 1.000000 2 -0.938965 -0.938922 264210 19193409487.000000 25019557386.000000 13388705566.000000
H2 3.000000 -2.000000 1.000000 2 -0.933105 -0.933632 264210 19297864113.000000 24367154374.000000 13255178565.000000
H2 0.200000 -2.000000 1.000000 4 0.159668 0.157482 530320 36408049117.000000 47152333351.000000 76974712999.000000
H2 0.900000 -2.000000 1.000000 4 -1.119141 -1.120560 530320 36668721323.000000 46919649749.000000 76683532058.000000
H2 1.600000 -2.000000 1.000000 4 -0.982910 -0.983473 530320 37538095222.000000 47547300091.000000 75596808185.000000
H2 2.300000 -2.000000 1.000000 4 -0.938965 -0.938922 530320 37218411001.000000 46864766817.000000 75951799539.000000
H2 3.000000 -2.000000 1.000000 4 -0.933105 -0.933632 530320 37364917289.000000 47010953757.000000 74900637073.000000
H2 0.200000 -2.000000 1.000000 6 0.158203 0.157482 796430 55308073116.000000 70763553063.000000 260980753184.000000
H2 0.900000 -2.000000 1.000000 6 -1.120605 -1.120560 796430 56252120235.000000 71281146067.000000 256886653677.000000
H2 1.600000 -2.000000 1.000000 6 -0.982910 -0.983473 796430 57452949851.000000 71712224096.000000 253399006244.000000
H2 2.300000 -2.000000 1.000000 6 -0.938965 -0.938922 796430 57260109516.000000 71993344406.000000 252014757934.000000
H2 3.000000 -2.000000 1.000000 6 -0.933105 -0.933632 796430 56421373542.000000 71714066217.000000 255139850516.000000
H2 0.200000 -2.000000 1.000000 8 0.158203 0.157482 1062540 74810307988.000000 95580250881.000000 630684958775.000000
H2 0.900000 -2.000000 1.000000 8 -1.120605 -1.120560 1062540 74585066858.000000 95580923291.000000 596057397783.000000
H2 1.600000 -2.000000 1.000000 8 -0.982910 -0.983473 1062540 76079607639.000000 95470354225.000000 606735305713.000000
H2 2.300000 -2.000000 1.000000 8 -0.938965 -0.938922 1062540 75020042509.000000 96225044877.000000 605617531999.000000
H2 3.000000 -2.000000 1.000000 8 -0.933105 -0.933632 1062540 74814400894.000000 96303131861.000000 612916327283.000000
H2 0.200000 -2.000000 1.000000 10 0.158203 0.157482 1328650 93340649469.000000 119501459897.000000 1251298016108.000000
H2 0.900000 -2.000000 1.000000 10 -1.120605 -1.120560 1328650 93800581987.000000 120446090365.000000 1192157581718.000000
H2 1.600000 -2.000000 1.000000 10 -0.982910 -0.983473 1328650 91139736111.000000 118813116830.000000 1190215620352.000000
H2 2.300000 -2.000000 1.000000 10 -0.938965 -0.938922 1328650 92391044062.000000 119165068511.000000 1196276672777.000000
H2 3.000000 -2.000000 1.000000 10 -0.333984 -0.933632 1328650 93971004902.000000 118900148575.000000 1199353811686.000000
