NBITS        NTROTS  L       H       LEN     E       FCIE    STATESIZ        DEPTH   TIME
11	1	-2.0323729921453504	-0.03237299214535039	0.74	-1.05859375	-1.1372838344855138	4	131499	17548797875
10	1	-1.488838912541285	-0.228917862646412	0.74	-1.1824063759267314	-1.1372838344855138	4	65879	8654031333
9	1	-1.4452869173520841	-0.6515863913679845	0.74	-1.3021649254426637	-1.1372838344855138	4	33035	4242421060
9	1	-1.3575584085015515	-0.8575584085015515	0.74	-0.9033203125	-1.1372838344855138	4	33035	4220708029
8	1	-1.3115373625796996	-0.9965571001059813	0.74	-1.2956024077532238	-1.1372838344855138	4	16583	2108858909
7	1	-1.2002635071782652	-1.0018383756822402	0.74	-1.1037397939466393	-1.1372838344855138	4	8331	998264775
7	1	-1.2003015985921632	-1.0753015985921632	0.74	-1.1787109375	-1.1372838344855138	4	8331	1040071280
11	2	-2.0323729921453504	-0.03237299214535039	0.74	-1.1259765625	-1.1372838344855138	4	264554	39126013486
10	2	-1.488838912541285	-0.228917862646412	0.74	-1.0999701353574378	-1.1372838344855138	4	132374	16355259986
9	2	-1.4452869173520841	-0.6515863913679845	0.74	-0.939418981926493	-1.1372838344855138	4	66250	8162750254
9	2	-1.3575584085015515	-0.8575584085015515	0.74	-1.09375	-1.1372838344855138	4	66250	8047268376
8	2	-1.3115373625796996	-0.9965571001059813	0.74	-1.1147348351608934	-1.1372838344855138	4	33158	4080723040
7	2	-1.2002635071782652	-1.0018383756822402	0.74	-1.1037397939466393	-1.1372838344855138	4	16586	1929796657
7	2	-1.2003015985921632	-1.0753015985921632	0.74	-1.1357421875	-1.1372838344855138	4	16586	2021895002
11	3	-2.0323729921453504	-0.03237299214535039	0.74	-1.1328125	-1.1372838344855138	4	397609	72742918849
10	3	-1.488838912541285	-0.228917862646412	0.74	-1.123347576712909	-1.1372838344855138	4	198869	24108171466
9	3	-1.4452869173520841	-0.6515863913679845	0.74	-1.0928884195679498	-1.1372838344855138	4	99465	12007683994
9	3	-1.3575584085015515	-0.8575584085015515	0.74	-1.26171875	-1.1372838344855138	4	99465	12065513295
8	3	-1.3115373625796996	-0.9965571001059813	0.74	-1.063058385848799	-1.1372838344855138	4	49733	5878420101
7	3	-1.2002635071782652	-1.0018383756822402	0.74	-1.185900199956712	-1.1372838344855138	4	24841	3000671274
7	3	-1.2003015985921632	-1.0753015985921632	0.74	-1.1796875	-1.1372838344855138	4	24841	2911832934
11	4	-2.0323729921453504	-0.03237299214535039	0.74	-1.134765625	-1.1372838344855138	4	530664	126349579060
10	4	-1.488838912541285	-0.228917862646412	0.74	-1.130729926614637	-1.1372838344855138	4	265364	32427792891
9	4	-1.4452869173520841	-0.6515863913679845	0.74	-1.117691561004953	-1.1372838344855138	4	132680	16041173066
9	4	-1.3575584085015515	-0.8575584085015515	0.74	-1.05859375	-1.1372838344855138	4	132680	15881288366
8	4	-1.3115373625796996	-0.9965571001059813	0.74	-1.1824063759267314	-1.1372838344855138	4	66308	7945930563
7	4	-1.2002635071782652	-1.0018383756822402	0.74	-1.1378441134225186	-1.1372838344855138	4	33096	4057903984
7	4	-1.2003015985921632	-1.0753015985921632	0.74	-1.1533203125	-1.1372838344855138	4	33096	4011168631
11	5	-2.0323729921453504	-0.03237299214535039	0.74	-1.1357421875	-1.1372838344855138	4	663719	210184713406
10	5	-1.488838912541285	-0.228917862646412	0.74	-1.1331907099152128	-1.1372838344855138	4	331859	40136584551
9	5	-1.4452869173520841	-0.6515863913679845	0.74	-1.1254425427040164	-1.1372838344855138	4	165895	19809034242
9	5	-1.3575584085015515	-0.8575584085015515	0.74	-1.0986328125	-1.1372838344855138	4	165895	19933316005
8	5	-1.3115373625796996	-0.9965571001059813	0.74	-1.2956024077532238	-1.1372838344855138	4	82883	9946534605
7	5	-1.2002635071782652	-1.0018383756822402	0.74	-1.089788026888325	-1.1372838344855138	4	41351	4865741721
7	5	-1.2003015985921632	-1.0753015985921632	0.74	-1.1728515625	-1.1372838344855138	4	41351	4855293843
11	6	-2.0323729921453504	-0.03237299214535039	0.74	-1.1357421875	-1.1372838344855138	4	796774	337161425591
10	6	-1.488838912541285	-0.228917862646412	0.74	-1.1344211015655008	-1.1372838344855138	4	398354	48109278390
9	6	-1.4452869173520841	-0.6515863913679845	0.74	-1.1285429353836418	-1.1372838344855138	4	199110	23798430702
9	6	-1.3575584085015515	-0.8575584085015515	0.74	-1.1142578125	-1.1372838344855138	4	199110	23602947779
8	6	-1.3115373625796996	-0.9965571001059813	0.74	-1.0396809444933277	-1.1372838344855138	4	99458	11770636037
7	6	-1.2002635071782652	-1.0018383756822402	0.74	-1.1626472548595217	-1.1372838344855138	4	49606	5941333894
7	6	-1.2003015985921632	-1.0753015985921632	0.74	-1.1455078125	-1.1372838344855138	4	49606	5912491084
11	7	-2.0323729921453504	-0.03237299214535039	0.74	-1.13671875	-1.1372838344855138	4	929829	504123323785
10	7	-1.488838912541285	-0.228917862646412	0.74	-1.1356514932157888	-1.1372838344855138	4	464849	55781767172
9	7	-1.4452869173520841	-0.6515863913679845	0.74	-1.1316433280632672	-1.1372838344855138	4	232325	27951874058
9	7	-1.3575584085015515	-0.8575584085015515	0.74	-1.12109375	-1.1372838344855138	4	232325	28006026643
8	7	-1.3115373625796996	-0.9965571001059813	0.74	-1.0815142606031185	-1.1372838344855138	4	116033	13750621712
7	7	-1.2002635071782652	-1.0018383756822402	0.74	-1.023129584276379	-1.1372838344855138	4	57861	6988069611
